stay_date,room_nights,occupied_apartments,apartment_bed_rate_pairs,avg_bed_rate,sum_bed_rate,occupancy_rate
2023-11-03,24,"[3, 4, 7, 5, 2, 8, 9, 10, 6, 1, 0]","[(3, 154842), (4, 130978), (7, 138861), (5, 236200), (2, 209094), (8, 163124), (9, 137932), (10, 104880), (6, 274513), (1, 240106), (0, 368115)]",196240,2158645,0.4211
2023-11-04,22,"[3, 9, 10, 6, 1, 7, 0, 5, 2, 4]","[(3, 154842), (9, 137932), (10, 104880), (6, 274513), (1, 240106), (7, 143453), (0, 368115), (5, 96672), (2, 172735), (4, 89114)]",178236,1782362,0.386
2023-11-05,19,"[3, 6, 1, 7, 0, 5, 2, 4, 8]","[(3, 154842), (6, 274513), (1, 240106), (7, 143453), (0, 368115), (5, 96672), (2, 172735), (4, 89114), (8, 215942)]",195055,1755492,0.3333
2023-11-06,12,"[3, 0, 5, 2, 4, 8]","[(3, 154842), (0, 368115), (5, 96672), (2, 172735), (4, 89114), (8, 215942)]",182903,1097420,0.2105
2023-11-07,9,"[3, 2, 4, 8]","[(3, 154842), (2, 172735), (4, 89114), (8, 215942)]",158158,632633,0.1579
2023-11-08,8,"[3, 8, 5, 4]","[(3, 154842), (8, 215942), (5, 108088), (4, 114952)]",148456,593824,0.1404
2023-11-09,15,"[3, 8, 5, 4, 2, 7]","[(3, 154842), (8, 215942), (5, 108088), (4, 114952), (2, 118143), (7, 168147)]",146686,880114,0.2632
2023-11-10,21,"[3, 8, 5, 4, 6, 2, 7]","[(3, 154842), (8, 215942), (5, 108088), (4, 114952), (6, 119247), (2, 118143), (7, 168147)]",142766,999361,0.3684
2023-11-11,25,"[3, 5, 4, 6, 2, 7, 1, 9]","[(3, 154842), (5, 108088), (4, 114952), (6, 119247), (2, 118143), (7, 168147), (1, 128278), (9, 98314)]",126251,1010011,0.4386
2023-11-12,25,"[3, 6, 2, 7, 0, 1, 9, 4]","[(3, 154842), (6, 119247), (2, 118143), (7, 168147), (0, 116793), (1, 128278), (9, 98314), (4, 98655)]",125302,1002419,0.4386
2023-11-13,12,"[3, 0, 1, 9, 4]","[(3, 154842), (0, 116793), (1, 128278), (9, 98314), (4, 98655)]",119376,596882,0.2105
2023-11-14,14,"[3, 7, 0, 1, 9, 4]","[(3, 154842), (7, 147980), (0, 116793), (1, 128278), (9, 98314), (4, 98655)]",124144,744862,0.2456
2023-11-15,14,"[3, 7, 0, 1, 9, 4]","[(3, 154842), (7, 147980), (0, 116793), (1, 128278), (9, 98314), (4, 98655)]",124144,744862,0.2456
2023-11-16,25,"[3, 7, 0, 1, 9, 2, 5, 4, 10, 8]","[(3, 154842), (7, 147980), (0, 116793), (1, 128278), (9, 98314), (2, 179744), (5, 125184), (4, 98655), (10, 119582), (8, 192126)]",136150,1361498,0.4386
2023-11-17,30,"[0, 3, 1, 9, 2, 5, 4, 10, 7, 8, 6]","[(0, 178201), (3, 154842), (1, 128278), (9, 98314), (2, 179744), (5, 125184), (4, 98655), (10, 119582), (7, 131866), (8, 192126), (6, 217746)]",147685,1624538,0.5263
2023-11-18,29,"[0, 1, 3, 2, 5, 4, 10, 7, 8, 6, 9]","[(0, 178201), (1, 125234), (3, 154842), (2, 179744), (5, 125184), (4, 98655), (10, 119582), (7, 131866), (8, 192126), (6, 217746), (9, 155324)]",152591,1678504,0.5088
2023-11-19,13,"[0, 1, 3, 4, 6, 9]","[(0, 178201), (1, 125234), (3, 154842), (4, 224744), (6, 217746), (9, 155324)]",176015,1056091,0.2281
2023-11-20,7,"[0, 1, 3, 4]","[(0, 178201), (1, 125234), (3, 154842), (4, 224744)]",170755,683021,0.1228
2023-11-21,14,"[2, 3, 1, 4, 6, 9]","[(2, 98796), (3, 154842), (1, 101585), (4, 224744), (6, 145283), (9, 135968)]",143536,861218,0.2456
2023-11-22,18,"[2, 3, 1, 4, 5, 6, 8, 9]","[(2, 98796), (3, 154842), (1, 101585), (4, 224744), (5, 129480), (6, 145283), (8, 218052), (9, 135968)]",151094,1208750,0.3158
2023-11-23,20,"[3, 1, 4, 5, 6, 7, 0, 8, 9]","[(3, 154842), (1, 101585), (4, 224744), (5, 129480), (6, 145283), (7, 140739), (0, 221711), (8, 218052), (9, 135968)]",163600,1472404,0.3509
2023-11-24,21,"[4, 5, 6, 7, 0, 8, 9, 2, 1]","[(4, 224744), (5, 129480), (6, 145283), (7, 140739), (0, 221711), (8, 218052), (9, 135968), (2, 134604), (1, 183274)]",170428,1533855,0.3684
2023-11-25,21,"[6, 7, 0, 8, 9, 2, 10, 1, 5]","[(6, 145283), (7, 140739), (0, 221711), (8, 218052), (9, 135968), (2, 134604), (10, 181046), (1, 183274), (5, 103571)]",162694,1464248,0.3684
2023-11-26,5,"[10, 1, 5]","[(10, 181046), (1, 183274), (5, 103571)]",155964,467891,0.0877
2023-11-27,7,"[1, 5, 4, 9]","[(1, 183274), (5, 103571), (4, 89236), (9, 320650)]",174183,696731,0.1228
2023-11-28,7,"[1, 5, 4, 9]","[(1, 183274), (5, 103571), (4, 89236), (9, 320650)]",174183,696731,0.1228
2023-11-29,9,"[4, 9, 8, 0, 1]","[(4, 89236), (9, 320650), (8, 220952), (0, 201216), (1, 187501)]",203911,1019555,0.1579
2023-11-30,15,"[4, 9, 5, 8, 6, 0, 1]","[(4, 89236), (9, 320650), (5, 115913), (8, 220952), (6, 224402), (0, 201216), (1, 187501)]",194267,1359870,0.2632
2023-12-01,30,"[9, 5, 7, 8, 6, 0, 3, 2, 1, 4, 10]","[(9, 320650), (5, 115913), (7, 150104), (8, 220952), (6, 224402), (0, 201216), (3, 164722), (2, 141204), (1, 187501), (4, 226024), (10, 136202)]",189899,2088890,0.5263
2023-12-02,31,"[7, 8, 6, 0, 3, 2, 1, 4, 5, 10, 9]","[(7, 150104), (8, 220952), (6, 224402), (0, 201216), (3, 164722), (2, 141204), (1, 187501), (4, 226024), (5, 145737), (10, 136202), (9, 293070)]",190103,2091134,0.5439
2023-12-03,12,"[1, 4, 5, 10, 9, 8]","[(1, 187501), (4, 226024), (5, 145737), (10, 136202), (9, 293070), (8, 250746)]",206547,1239280,0.2105
2023-12-04,12,"[1, 4, 5, 10, 9, 8]","[(1, 187501), (4, 226024), (5, 145737), (10, 136202), (9, 293070), (8, 250746)]",206547,1239280,0.2105
2023-12-05,14,"[5, 10, 0, 9, 1, 8, 3]","[(5, 145737), (10, 136202), (0, 191316), (9, 293070), (1, 222751), (8, 250746), (3, 318991)]",222688,1558813,0.2456
2023-12-06,12,"[0, 9, 5, 1, 8, 3]","[(0, 191316), (9, 293070), (5, 165342), (1, 222751), (8, 250746), (3, 318991)]",240369,1442216,0.2105
2023-12-07,27,"[0, 9, 5, 1, 10, 8, 3, 2, 7, 6]","[(0, 191316), (9, 293070), (5, 165342), (1, 222751), (10, 162807), (8, 250746), (3, 318991), (2, 257611), (7, 233092), (6, 198718)]",229444,2294444,0.4737
2023-12-08,27,"[5, 1, 10, 8, 3, 2, 7, 9, 6, 0]","[(5, 165342), (1, 222751), (10, 162807), (8, 250746), (3, 318991), (2, 257611), (7, 233092), (9, 262394), (6, 198718), (0, 333822)]",240627,2406274,0.4737
2023-12-09,27,"[7, 9, 6, 5, 10, 0, 8, 2, 3, 1]","[(7, 233092), (9, 262394), (6, 198718), (5, 201540), (10, 168831), (0, 333822), (8, 616983), (2, 340389), (3, 173439), (1, 229388)]",275860,2758596,0.4737
2023-12-10,18,"[5, 10, 0, 8, 2, 3, 1, 4]","[(5, 201540), (10, 168831), (0, 333822), (8, 616983), (2, 340389), (3, 173439), (1, 229388), (4, 152102)]",277062,2216494,0.3158
2023-12-11,16,"[2, 3, 10, 1, 0, 4, 5]","[(2, 340389), (3, 173439), (10, 84499), (1, 229388), (0, 232312), (4, 152102), (5, 303276)]",216486,1515405,0.2807
2023-12-12,13,"[3, 10, 1, 0, 4, 5]","[(3, 173439), (10, 84499), (1, 229388), (0, 232312), (4, 152102), (5, 303276)]",195836,1175016,0.2281
2023-12-13,9,"[1, 0, 8, 4, 5]","[(1, 229388), (0, 232312), (8, 175078), (4, 152102), (5, 303276)]",218431,1092156,0.1579
2023-12-14,14,"[8, 7, 4, 3, 5, 0]","[(8, 175078), (7, 162672), (4, 152102), (3, 177451), (5, 303276), (0, 241582)]",202027,1212161,0.2456
2023-12-15,28,"[7, 4, 3, 6, 2, 8, 10, 5, 0, 1]","[(7, 162672), (4, 152102), (3, 177451), (6, 153716), (2, 141204), (8, 361756), (10, 160744), (5, 303276), (0, 241582), (1, 267713)]",212222,2122216,0.4912
2023-12-16,31,"[7, 4, 3, 6, 2, 8, 10, 5, 0, 1, 9]","[(7, 162672), (4, 152102), (3, 177451), (6, 153716), (2, 141204), (8, 361756), (10, 160744), (5, 303276), (0, 241582), (1, 267713), (9, 188241)]",210042,2310457,0.5439
2023-12-17,19,"[10, 5, 0, 1, 9, 4, 6, 8]","[(10, 160744), (5, 303276), (0, 241582), (1, 267713), (9, 188241), (4, 100414), (6, 210681), (8, 223490)]",212018,1696141,0.3333
2023-12-18,20,"[1, 9, 4, 7, 5, 3, 6, 8]","[(1, 267713), (9, 188241), (4, 100414), (7, 115845), (5, 87469), (3, 104876), (6, 210681), (8, 223490)]",162341,1298729,0.3509
2023-12-19,22,"[9, 4, 7, 5, 10, 3, 0, 6, 8]","[(9, 188241), (4, 100414), (7, 115845), (5, 87469), (10, 78476), (3, 104876), (0, 96956), (6, 210681), (8, 223490)]",134050,1206448,0.386
2023-12-20,21,"[10, 3, 0, 5, 6, 9, 2, 8]","[(10, 78476), (3, 104876), (0, 96956), (5, 227946), (6, 210681), (9, 85522), (2, 91174), (8, 223490)]",139890,1119121,0.3684
2023-12-21,21,"[0, 5, 6, 9, 2, 1, 10, 8]","[(0, 96956), (5, 227946), (6, 210681), (9, 85522), (2, 91174), (1, 143342), (10, 136648), (8, 223490)]",151970,1215759,0.3684
2023-12-22,24,"[6, 9, 2, 1, 10, 3, 5, 0, 8]","[(6, 210681), (9, 85522), (2, 91174), (1, 143342), (10, 136648), (3, 200400), (5, 174771), (0, 222208), (8, 223490)]",165360,1488236,0.4211
2023-12-23,31,"[10, 2, 3, 5, 9, 7, 4, 0, 6, 1, 8]","[(10, 136648), (2, 202686), (3, 200400), (5, 174771), (9, 199798), (7, 130420), (4, 190946), (0, 222208), (6, 95933), (1, 191085), (8, 223490)]",178944,1968385,0.5439
2023-12-24,31,"[2, 3, 5, 9, 7, 4, 0, 10, 6, 1, 8]","[(2, 202686), (3, 200400), (5, 174771), (9, 199798), (7, 130420), (4, 190946), (0, 222208), (10, 136648), (6, 95933), (1, 191085), (8, 223490)]",178944,1968385,0.5439
2023-12-25,27,"[5, 9, 7, 4, 0, 10, 6, 1, 3, 8]","[(5, 174771), (9, 199798), (7, 130420), (4, 190946), (0, 222208), (10, 136648), (6, 95933), (1, 191085), (3, 173869), (8, 223490)]",173917,1739168,0.4737
2023-12-26,30,"[4, 0, 10, 6, 1, 2, 7, 3, 9, 8]","[(4, 190946), (0, 222208), (10, 136648), (6, 95933), (1, 191085), (2, 130792), (7, 179620), (3, 173869), (9, 155358), (8, 223490)]",169995,1699949,0.5263
